ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
1370,2,86,-821.85,-827.12,0.05,579.421628,1,458477,1110
1371,2,84,-837.8,-827.11,0.05,830.067637,1,458561,1111
1372,2,83,-925.68,-827.74,0.05,763.228586,1,458644,1112
1373,2,81,-969.23,-828.84,0.05,1456.469419,1,458725,1113
1374,2,83,-872.55,-829.18,0.05,391.736069,1,458808,1114
1375,2,83,-896.08,-829.74,0.05,553.794323,1,458891,1115
1376,2,84,-878.17,-829.54,0.05,691.72317,1,458975,1116
1377,2,83,-903.13,-830.17,0.05,684.472044,1,459058,1117
1378,2,90,-848.36,-830.08,0.05,958.337529,1,459148,1118
1379,2,87,-837.73,-829.92,0.05,459.335276,1,459235,1119
1380,2,85,-824.76,-830.01,0.05,417.649188,1,459320,1120
1381,2,86,-853.04,-830.27,0.05,664.812482,1,459406,1121
1382,2,84,-880.25,-830.71,0.05,721.563007,1,459490,1122
1383,2,84,-853.77,-830.49,0.05,585.163025,1,459574,1123
1384,2,83,-865.48,-830.71,0.05,570.891988,1,459657,1124
1385,2,84,-858.59,-831.05,0.05,487.87013,1,459741,1125
1386,2,84,-837.75,-835.68,0.05,647.429649,1,459825,1126
1387,2,84,-849.3,-835.86,0.05,1116.499653,1,459909,1127
1388,2,83,-882.14,-836.38,0.05,666.829929,1,459992,1128
1389,2,82,-878.4,-841.6,0.05,604.760034,1,460074,1129
1390,2,84,-821.69,-841.73,0.05,813.744715,1,460158,1130
1391,2,80,-926.54,-842.94,0.05,697.059256,1,460238,1131
1392,2,82,-906.2,-843.16,0.05,1110.291635,1,460320,1132
1393,2,83,-901.34,-843.96,0.05,533.575665,1,460403,1133
1394,2,88,-805.13,-843.71,0.05,561.080299,1,460491,1134
1395,2,85,-858.3,-849.31,0.05,890.048699,1,460576,1135
1396,2,82,-920.38,-850.22,0.05,707.318434,1,460658,1136
1397,2,82,-907.66,-850.99,0.05,806.574879,1,460740,1137
1398,2,80,-963.25,-852.47,0.05,805.979821,1,460820,1138
1399,2,83,-936.07,-853.46,0.05,862.507348,1,460903,1139
1400,2,83,-882.06,-854.12,0.05,1269.286231,1,460986,1140
1401,2,83,-905.74,-855.01,0.05,684.105869,1,461069,1141
1402,2,85,-864.98,-855.17,0.05,1111.141247,1,461154,1142
1403,2,91,-886.08,-855.84,0.05,736.699041,1,461245,1143
1404,2,85,-847.27,-855.95,0.05,919.434437,1,461330,1144
1405,2,86,-856.03,-856.42,0.05,666.26896,1,461416,1145
1406,2,82,-910.12,-857.26,0.05,660.324084,1,461498,1146
1407,2,83,-938.29,-858.52,0.05,661.090396,1,461581,1147
1408,2,87,-853.74,-858.68,0.05,689.773564,1,461668,1148
1409,2,83,-918.62,-859.49,0.05,862.91187,1,461751,1149
1410,2,85,-850.51,-859.44,0.05,668.275996,1,461836,1150
1411,2,84,-850.31,-859.57,0.05,715.484492,1,461920,1151
1412,2,83,-936.23,-860.2,0.05,683.689319,1,462003,1152
1413,2,85,-854.87,-860.38,0.05,510.650178,1,462088,1153
1414,2,409,-462.16,-856.57,0.05,886.02591,1,462497,1154
1415,2,86,-813.05,-856.33,0.05,725.55084,1,462583,1155
1416,2,88,-868.88,-856.53,0.05,730.366269,1,462671,1156
1417,2,86,-853.98,-856.53,0.05,695.735505,1,462757,1157
1418,2,87,-840.09,-856.45,0.05,878.886154,1,462844,1158
1419,2,87,-844.91,-856.65,0.05,1117.868728,1,462931,1159
1420,2,410,-566.94,-853.72,0.05,733.717031,1,463341,1160
1421,2,90,-856.0,-854.14,0.05,561.018048,1,463431,1161
1422,2,85,-839.59,-854.09,0.05,1118.720148,1,463516,1162
1423,2,84,-926.89,-854.91,0.05,764.46151,1,463600,1163
1424,2,85,-915.57,-855.66,0.05,816.450695,1,463685,1164
1425,2,1000,-2765.07,-874.97,0.05,878.544065,0,464685,1164
1426,2,89,-843.94,-874.84,0.05,676.224384,1,464774,1165
1427,2,82,-985.83,-876.39,0.05,1365.475424,1,464856,1166
1428,2,84,-862.6,-876.48,0.05,846.833457,1,464940,1167
1429,2,85,-913.17,-877.05,0.05,1005.502622,1,465025,1168
1430,2,413,-582.43,-874.33,0.05,692.678825,1,465438,1169
1431,2,86,-847.08,-874.33,0.05,650.379997,1,465524,1170
1432,2,87,-870.54,-874.7,0.05,987.100908,1,465611,1171
1433,2,407,-575.42,-872.08,0.05,891.665365,1,466018,1172
1434,2,82,-937.57,-873.08,0.05,894.847595,1,466100,1173
1435,2,82,-964.69,-874.08,0.05,865.43374,1,466182,1174
1436,2,82,-930.19,-874.95,0.05,785.227039,1,466264,1175
1437,2,413,-782.91,-874.19,0.05,1065.866881,1,466677,1176
1438,2,81,-1048.0,-876.31,0.05,800.622008,1,466758,1177
1439,2,85,-924.69,-877.23,0.05,677.546372,1,466843,1178
1440,2,81,-927.38,-878.23,0.05,539.510077,1,466924,1179
1441,2,410,-706.35,-876.81,0.05,962.127395,1,467334,1180
1442,2,86,-842.94,-876.97,0.05,1024.161414,1,467420,1181
1443,2,1000,-1397.88,-882.42,0.05,903.745481,0,468420,1181
1444,2,84,-859.21,-882.83,0.05,1183.71428,1,468504,1182
1445,2,84,-922.14,-882.58,0.05,965.578132,1,468588,1183
1446,2,85,-873.9,-882.96,0.05,1116.773253,1,468673,1184
1447,2,408,-550.77,-879.8,0.05,861.708001,1,469081,1185
1448,2,598,-2047.06,-892.03,0.05,927.74387,1,469679,1186
1449,2,88,-867.91,-892.2,0.05,726.454839,1,469767,1187
1450,2,84,-831.57,-892.18,0.05,1155.681725,1,469851,1188
