ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
1013,1,500,1711.91,636.96,0.05,1002.853359,0,292348,872
1014,1,500,1750.92,648.96,0.05,894.295035,0,292848,872
1015,1,500,948.72,652.63,0.05,601.048866,0,293348,872
1016,1,500,1914.76,666.07,0.05,899.382614,0,293848,872
1017,1,332,22.32,660.61,0.05,775.497686,1,294180,873
1018,1,500,1606.41,670.99,0.05,792.26944,0,294680,873
1019,1,500,1724.38,683.12,0.05,727.287603,0,295180,873
1020,1,500,896.35,686.68,0.05,824.834279,0,295680,873
1021,1,500,993.25,690.82,0.05,764.917751,0,296180,873
1022,1,500,1973.08,705.3,0.05,749.922356,0,296680,873
1023,1,500,1722.57,717.1,0.05,667.19099,0,297180,873
1024,1,500,1974.0,731.27,0.05,549.35271,0,297680,873
1025,1,500,1433.98,739.93,0.05,725.063258,0,298180,873
1026,1,500,912.07,743.61,0.05,725.03547,0,298680,873
1027,1,500,2074.81,758.76,0.05,699.324863,0,299180,873
1028,1,500,2038.04,774.06,0.05,1033.407044,0,299680,873
1029,1,500,1998.7,788.35,0.05,1069.897211,0,300180,873
1030,1,500,1536.0,789.07,0.05,503.442725,0,300680,873
1031,1,500,1659.84,794.0,0.05,507.295633,0,301180,873
1032,1,500,2024.97,820.6,0.05,729.042589,0,301680,873
1033,1,500,1040.54,825.53,0.05,758.007051,0,302180,873
1034,1,500,1889.14,827.45,0.05,846.363937,0,302680,873
1035,1,500,1921.29,841.26,0.05,1034.655257,0,303180,873
1036,1,500,2023.47,868.12,0.05,615.739327,0,303680,873
1037,1,500,997.4,873.07,0.05,623.973903,0,304180,873
1038,1,500,1935.59,886.45,0.05,624.498348,0,304680,873
1039,1,500,1226.27,893.39,0.05,578.382093,0,305180,873
1040,1,500,1858.8,918.96,0.05,397.115269,0,305680,873
1041,1,500,2011.13,934.37,0.05,233.906771,0,306180,873
1042,1,500,1733.75,946.47,0.05,544.340564,0,306680,873
1043,1,330,-202.41,951.49,0.05,805.585069,1,307010,874
1044,1,500,1256.31,958.83,0.05,528.576736,0,307510,874
1045,1,269,66.08,943.32,0.05,673.919941,1,307779,875
1046,1,500,1748.17,967.11,0.05,412.630075,0,308279,875
1047,1,500,1974.01,993.9,0.05,225.712404,0,308779,875
1048,1,500,1857.57,1007.22,0.05,580.117542,0,309279,875
1049,1,500,2019.33,1034.01,0.05,324.277556,0,309779,875
1050,1,500,2099.61,1062.17,0.05,407.01737,0,310279,875
1051,1,500,1710.72,1073.71,0.05,266.843207,0,310779,875
1052,1,500,2062.35,1089.38,0.05,346.181431,0,311279,875
1053,1,500,2031.22,1104.26,0.05,396.49932,0,311779,875
1054,1,500,1907.49,1118.23,0.05,297.255699,0,312279,875
1055,1,500,2055.07,1133.61,0.05,394.729851,0,312779,875
1056,1,500,1946.95,1148.11,0.05,401.468911,0,313279,875
1057,1,500,2066.28,1163.89,0.05,352.982134,0,313779,875
1058,1,500,1958.98,1178.05,0.05,275.445885,0,314279,875
1059,1,500,2074.51,1193.44,0.05,378.896499,0,314779,875
1060,1,500,2115.52,1208.96,0.05,480.344145,0,315279,875
1061,1,500,2056.54,1223.97,0.05,289.679196,0,315779,875
1062,1,500,1594.79,1233.72,0.05,378.632387,0,316279,875
1063,1,500,1996.18,1248.36,0.05,415.450895,0,316779,875
1064,1,500,1967.1,1262.42,0.05,274.763478,0,317279,875
1065,1,500,1823.8,1274.98,0.05,328.00261,0,317779,875
1066,1,500,1998.08,1289.24,0.05,291.480207,0,318279,875
1067,1,500,2007.01,1303.46,0.05,558.581294,0,318779,875
1068,1,500,1812.34,1315.97,0.05,405.85591,0,319279,875
1069,1,500,1948.03,1329.94,0.05,171.592869,0,319779,875
1070,1,269,95.08,1324.98,0.05,266.14733,1,320048,876
1071,1,500,1903.76,1338.55,0.05,357.740503,0,320548,876
1072,1,269,100.72,1334.01,0.05,271.77912,1,320817,877
1073,1,268,61.71,1329.11,0.05,485.346903,1,321085,878
1074,1,500,2036.11,1344.23,0.05,372.688504,0,321585,878
1075,1,500,2091.35,1360.21,0.05,599.391231,0,322085,878
1076,1,500,2054.58,1375.01,0.05,681.489871,0,322585,878
1077,1,500,1731.36,1377.89,0.05,508.485354,0,323085,878
1078,1,500,2065.7,1392.87,0.05,612.81561,0,323585,878
1079,1,500,2068.62,1408.12,0.05,464.174076,0,324085,878
1080,1,493,688.76,1409.29,0.05,290.016217,1,324578,879
1081,1,500,2074.83,1424.06,0.05,317.509005,0,325078,879
1082,1,500,1715.74,1435.26,0.05,283.715864,0,325578,879
1083,1,500,1901.26,1448.46,0.05,533.435925,0,326078,879
1084,1,500,1801.07,1460.65,0.05,539.180391,0,326578,879
1085,1,500,2004.17,1474.94,0.05,642.636576,0,327078,879
1086,1,500,1743.28,1486.76,0.05,496.894596,0,327578,879
1087,1,500,2029.69,1502.35,0.05,402.531413,0,328078,879
1088,1,500,1964.74,1507.11,0.05,584.717532,0,328578,879
1089,1,500,1941.73,1511.61,0.05,395.380819,0,329078,879
1090,1,500,2003.76,1526.61,0.05,381.727219,0,329578,879
1091,1,500,1896.05,1531.58,0.05,469.710191,0,330078,879
1092,1,500,2055.37,1546.73,0.05,429.59716,0,330578,879
1093,1,500,2023.93,1561.83,0.05,349.719753,0,331078,879
1094,1,500,502.93,1562.03,0.05,314.19165,0,331578,879
1095,1,500,1914.42,1575.88,0.05,458.491807,0,332078,879
1096,1,500,1921.0,1590.45,0.05,312.338885,0,332578,879
1097,1,500,1924.96,1604.26,0.05,565.063203,0,333078,879
1098,1,500,1954.15,1618.29,0.05,347.383638,0,333578,879
1099,1,500,1908.96,1631.88,0.05,345.624153,0,334078,879
1100,1,500,1997.99,1646.3,0.05,376.050994,0,334578,879
1101,2,404,468.35,1635.97,0.05,363.421793,1,334982,880
1102,2,420,521.76,1624.94,0.05,335.360751,1,335402,881
1103,2,418,568.84,1611.75,0.05,503.345924,1,335820,882
1104,2,417,501.7,1607.87,0.05,422.753684,1,336237,883
1105,2,423,479.7,1596.88,0.05,316.465131,1,336660,884
1106,2,424,575.59,1587.55,0.05,361.237261,1,337084,885
1107,2,418,537.88,1575.2,0.05,289.988912,1,337502,886
1108,2,413,554.26,1565.96,0.05,299.361636,1,337915,887
1109,2,415,548.34,1559.74,0.05,665.207983,1,338330,888
1110,2,500,1879.35,1561.29,0.05,431.241876,0,338830,888
1111,2,431,401.96,1564.37,0.05,502.806775,1,339261,889
1112,2,415,528.26,1552.5,0.05,618.364491,1,339676,890
1113,2,414,560.13,1540.98,0.05,589.610312,1,340090,891
